year,rate,pop
1996,1062.4179803549,Maori
1997,980.1534611474,Maori
1998,934.2285717637,Maori
1999,954.1899555964,Maori
2000,905.9589282283,Maori
2001,864.292018856,Maori
2002,840.2560496404,Maori
2003,829.5432077521,Maori
2004,803.6686732401,Maori
2005,787.1228313843,Maori
2006,777.7075687596,Maori
2007,753.6420085016,Maori
2008,732.0130268092,Maori
2009,731.287620321,Maori
2010,663.7866562272,Maori
2011,672.0302014927,Maori
2012,655.7993555102,Maori
2013,623.9017227678,Maori
1996,542.0888957171,Non-Maori
1997,517.0764270236,Non-Maori
1998,493.8697183552,Non-Maori
1999,506.9231684279,Non-Maori
2000,472.3836212854,Non-Maori
2001,477.2621171418,Non-Maori
2002,470.8992975573,Non-Maori
2003,452.079954439,Non-Maori
2004,452.4159445255,Non-Maori
2005,418.7856992152,Non-Maori
2006,426.4016814847,Non-Maori
2007,412.9527224297,Non-Maori
2008,417.6538392695,Non-Maori
2009,403.5999705221,Non-Maori
2010,388.5806206463,Non-Maori
2011,399.9718592874,Non-Maori
2012,387.3679375586,Non-Maori
2013,358.324743513,Non-Maori
1996,577.666222426,Total
1997,551.0191710835,Total
1998,525.8149438666,Total
1999,539.9689150852,Total
2000,502.6646238007,Total
2001,507.7030911393,Total
2002,499.6053528532,Total
2003,482.5527248607,Total
2004,481.2953216738,Total
2005,448.74407878,Total
2006,456.432711083,Total
2007,443.0360654306,Total
2008,444.490779817,Total
2009,432.4786576084,Total
2010,414.5558360124,Total
2011,425.3378579615,Total
2012,411.9436581515,Total
2013,382.2031861779,Total
